      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2010.81 | 8.55469 | 0.13231 | 0.98028 | 0.25338 | 2.80394 | 8.50126 | 5.79042 | 9.45884 | 21.4027 | 
 1 -> | 2005.58 | 7.69946 | 0.07120 | 0.96454 | 0.07864 | 2.60337 | 7.60852 | 5.60852 | 1.60738 | 2.46983 | 
 2 -> | 1979.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 3.00000 | 6.00000 | 2.00000 | 0.00000 | 
 3 -> | 2012.60 | 7.88011 | 0.11512 | 0.88130 | 0.01717 | 2.92821 | 8.06380 | 5.80162 | 0.48618 | 1.04792 | 
 4 -> | 1987.22 | 9.04348 | 0.00000 | 1.00000 | 0.00000 | 3.78261 | 12.0870 | 6.13043 | 171.826 | 25.6087 | 
 5 -> | 1986.80 | 6.07504 | 0.09725 | 0.90412 | 0.00050 | 2.83916 | 7.15051 | 5.85820 | 1.31396 | 1.46149 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2005.84 | 8.57172 | 0.10030 | 0.98696 | 0.39619 | 2.92628 | 9.05366 | 5.90873 | 12.8435 | 39.6931 | 
 1 -> | 2005.43 | 8.10053 | 0.02646 | 0.94180 | 0.19577 | 2.82011 | 8.17460 | 5.83069 | 4.15873 | 12.2804 | 
 2 -> | 1979.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 3.00000 | 6.00000 | 2.00000 | 0.00000 | 
 3 -> | 2013.02 | 8.04854 | 0.11413 | 0.90576 | 0.04911 | 2.77458 | 7.97833 | 5.75493 | 1.35344 | 2.10813 | 
 4 -> | 2000.59 | 9.78788 | 0.33333 | 1.00000 | 0.34848 | 3.22727 | 14.9697 | 5.90909 | 153.106 | 211.712 | 
 5 -> | 1991.05 | 6.44507 | 0.09619 | 0.90628 | 0.00735 | 2.86687 | 7.35066 | 5.82514 | 1.18359 | 0.91945 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2003.66 | 8.66165 | 0.09739 | 0.98394 | 0.43474 | 2.96988 | 9.35542 | 5.88454 | 17.6185 | 53.5873 | 
 1 -> | 2006.32 | 8.83556 | 0.10222 | 1.00000 | 0.35111 | 2.86667 | 8.68000 | 5.88889 | 8.95556 | 23.4889 | 
 2 -> | 1978.00 | 2.00000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 4.00000 | 5.00000 | 34.0000 | 20.0000 | 
 3 -> | 2009.83 | 8.83381 | 0.06590 | 0.98567 | 0.32665 | 2.86533 | 10.6905 | 5.93410 | 8.25215 | 18.3095 | 
 4 -> | 2001.66 | 9.48544 | 0.37864 | 1.00000 | 0.53398 | 3.29126 | 13.4466 | 6.08738 | 119.155 | 212.893 | 
 5 -> | 1999.47 | 7.05861 | 0.10360 | 0.90506 | 0.02714 | 2.85193 | 7.59957 | 5.80523 | 1.32285 | 1.57298 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2002.11 | 8.83399 | 0.12648 | 0.97036 | 0.44466 | 2.99407 | 9.56126 | 5.97036 | 18.6621 | 72.8142 | 
 1 -> | 1996.53 | 7.79245 | 0.00000 | 0.98113 | 0.37736 | 2.81132 | 8.86792 | 5.81132 | 8.67925 | 36.9623 | 
 2 -> | 1988.57 | 6.04762 | 0.00000 | 1.00000 | 0.00000 | 2.47619 | 11.4286 | 5.33333 | 59.0000 | 28.7143 | 
 3 -> | 2007.80 | 8.75078 | 0.10903 | 0.99377 | 0.38006 | 3.11838 | 9.10592 | 5.81620 | 14.8442 | 29.7009 | 
 4 -> | 2001.59 | 8.92308 | 0.29060 | 1.00000 | 0.62393 | 3.25641 | 12.0256 | 6.07692 | 94.2393 | 196.521 | 
 5 -> | 1999.68 | 7.10165 | 0.10336 | 0.90734 | 0.03391 | 2.85004 | 7.57094 | 5.80487 | 1.49543 | 1.94533 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2003.93 | 9.13396 | 0.12773 | 0.95016 | 0.52336 | 2.96573 | 10.1090 | 5.95016 | 21.9128 | 89.6355 | 
 1 -> | 1986.73 | 8.33333 | 0.00000 | 1.00000 | 0.10000 | 2.86667 | 10.3667 | 6.00000 | 5.06667 | 52.7667 | 
 2 -> | 1988.57 | 6.04762 | 0.00000 | 1.00000 | 0.00000 | 2.47619 | 11.4286 | 5.33333 | 59.0000 | 28.7143 | 
 3 -> | 2001.06 | 8.34375 | 0.05729 | 0.99479 | 0.43229 | 3.06250 | 8.69271 | 5.98958 | 16.7135 | 42.4063 | 
 4 -> | 2001.28 | 9.11579 | 0.24211 | 1.00000 | 0.57895 | 3.26316 | 12.4105 | 6.07368 | 108.316 | 191.705 | 
 5 -> | 1999.62 | 7.11239 | 0.10137 | 0.90910 | 0.03640 | 2.86288 | 7.59202 | 5.80391 | 1.65871 | 2.22741 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2003.62 | 9.09053 | 0.14403 | 0.98354 | 0.54321 | 3.01235 | 10.2099 | 5.92181 | 24.6584 | 108.383 | 
 1 -> | 1992.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 1.00000 | 6.00000 | 11.0000 | 70.0000 | 
 2 -> | 1988.57 | 6.04762 | 0.00000 | 1.00000 | 0.00000 | 2.47619 | 11.4286 | 5.33333 | 59.0000 | 28.7143 | 
 3 -> | 1999.95 | 8.27103 | 0.02804 | 0.95794 | 0.36449 | 2.93925 | 11.0280 | 5.96262 | 14.2243 | 54.1402 | 
 4 -> | 2001.44 | 9.80220 | 0.40659 | 1.00000 | 0.49451 | 3.25275 | 14.2967 | 6.04396 | 137.143 | 205.187 | 
 5 -> | 1999.57 | 7.08414 | 0.10271 | 0.91062 | 0.03675 | 2.85322 | 7.59201 | 5.80598 | 1.75042 | 2.36897 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2004.31 | 9.50857 | 0.16000 | 0.96000 | 0.64571 | 3.20571 | 11.6114 | 6.06857 | 29.1600 | 131.171 | 
 1 -> | 1995.57 | 8.91892 | 0.00000 | 1.00000 | 0.32432 | 2.32432 | 9.13514 | 5.32432 | 13.7297 | 85.0000 | 
 2 -> | 1988.57 | 6.04762 | 0.00000 | 1.00000 | 0.00000 | 2.47619 | 11.4286 | 5.33333 | 59.0000 | 28.7143 | 
 3 -> | 2004.75 | 8.84568 | 0.08025 | 0.96296 | 0.56173 | 2.95062 | 9.82716 | 5.96914 | 19.3951 | 66.1975 | 
 4 -> | 2002.18 | 9.77381 | 0.47619 | 1.00000 | 0.51190 | 3.42857 | 13.6310 | 6.05952 | 166.310 | 242.190 | 
 5 -> | 1999.61 | 7.09391 | 0.10086 | 0.91379 | 0.03653 | 2.85153 | 7.55455 | 5.80351 | 1.82052 | 2.49626 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2003.24 | 9.44755 | 0.20979 | 1.00000 | 0.68531 | 3.04196 | 10.2517 | 5.95804 | 34.0140 | 146.979 | 
 1 -> | 2003.21 | 10.0000 | 0.00000 | 1.00000 | 1.00000 | 3.00000 | 17.9474 | 6.00000 | 20.2632 | 100.000 | 
 2 -> | 1988.57 | 6.04762 | 0.00000 | 1.00000 | 0.00000 | 2.47619 | 11.4286 | 5.33333 | 59.0000 | 28.7143 | 
 3 -> | 2003.77 | 8.97692 | 0.13846 | 0.96154 | 0.52308 | 2.92308 | 9.59231 | 5.84615 | 20.5308 | 80.9000 | 
 4 -> | 2004.37 | 9.95890 | 0.63014 | 1.00000 | 0.60274 | 3.54795 | 12.8767 | 6.13699 | 176.370 | 260.630 | 
 5 -> | 1999.59 | 7.08725 | 0.09984 | 0.91452 | 0.03687 | 2.84920 | 7.52262 | 5.81027 | 1.84801 | 2.55940 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2002.91 | 9.03571 | 0.23571 | 1.00000 | 0.72857 | 3.07143 | 9.37143 | 5.92857 | 34.1429 | 157.721 | 
 1 -> | 2003.00 | 10.0000 | 0.00000 | 1.00000 | 1.00000 | 3.00000 | 14.0000 | 6.00000 | 17.0000 | 122.000 | 
