G00   |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1983.26 | 5.40040 | 0.10129 | 0.90249 | 0.00159 | 2.80647 | 6.61562 | 5.83791 | 1.27930 | 1.65711 | 
 1 -> | 1996.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 5.00000 | 2.50000 | 7.00000 | 212.500 | 0.00000 | 
 2 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 21.0000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2007.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 1.00000 | 
 4 -> | 1988.40 | 10.0000 | 0.20000 | 1.00000 | 0.00000 | 3.00000 | 12.8000 | 6.00000 | 48.2000 | 560.400 | 
 5 -> | 2006.57 | 7.70449 | 0.10582 | 0.91496 | 0.05963 | 2.84517 | 7.99677 | 5.79345 | 2.45223 | 4.74944 | 
G01   |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.63 | 5.97443 | 0.10076 | 0.89752 | 0.00146 | 2.79898 | 7.03073 | 5.83130 | 1.40388 | 1.31342 | 
 1 -> | 1996.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 5.00000 | 2.50000 | 7.00000 | 212.500 | 0.00000 | 
 2 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 21.0000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2007.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 1.00000 | 
 4 -> | 1988.40 | 10.0000 | 0.20000 | 1.00000 | 0.00000 | 3.00000 | 12.8000 | 6.00000 | 48.2000 | 560.400 | 
 5 -> | 2010.44 | 7.90037 | 0.10737 | 0.91768 | 0.07860 | 2.84760 | 7.94666 | 5.77459 | 2.75864 | 5.94734 | 
G02   |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.75 | 5.97369 | 0.10008 | 0.89823 | 0.00189 | 2.78997 | 7.14785 | 5.82528 | 1.48131 | 1.44310 | 
 1 -> | 1996.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 5.00000 | 2.50000 | 7.00000 | 212.500 | 0.00000 | 
 2 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 21.0000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2007.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 1.00000 | 
 4 -> | 1988.40 | 10.0000 | 0.20000 | 1.00000 | 0.00000 | 3.00000 | 12.8000 | 6.00000 | 48.2000 | 560.400 | 
 5 -> | 2010.63 | 7.93078 | 0.10922 | 0.91811 | 0.08146 | 2.86799 | 7.89886 | 5.78927 | 2.63473 | 5.64750 | 
G03   |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.76 | 5.98500 | 0.10254 | 0.89979 | 0.00169 | 2.79066 | 7.17570 | 5.83026 | 1.48933 | 1.47540 | 
 1 -> | 1996.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 5.00000 | 2.50000 | 7.00000 | 212.500 | 0.00000 | 
 2 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 21.0000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2007.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 1.00000 | 
 4 -> | 1988.40 | 10.0000 | 0.20000 | 1.00000 | 0.00000 | 3.00000 | 12.8000 | 6.00000 | 48.2000 | 560.400 | 
 5 -> | 2010.65 | 7.94520 | 0.10526 | 0.91785 | 0.08458 | 2.86919 | 7.87464 | 5.78244 | 2.68463 | 5.81354 | 
G04   |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.75 | 5.96637 | 0.10316 | 0.89684 | 0.00145 | 2.78891 | 7.11208 | 5.83461 | 1.49189 | 1.42526 | 
 1 -> | 1996.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 5.00000 | 2.50000 | 7.00000 | 212.500 | 0.00000 | 
 2 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 21.0000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2007.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 1.00000 | 
 4 -> | 1988.40 | 10.0000 | 0.20000 | 1.00000 | 0.00000 | 3.00000 | 12.8000 | 6.00000 | 48.2000 | 560.400 | 
 5 -> | 2010.63 | 7.94016 | 0.10696 | 0.91813 | 0.08504 | 2.86827 | 7.93313 | 5.78017 | 2.61802 | 5.77817 | 
G05   |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.81 | 5.98114 | 0.10228 | 0.90174 | 0.00126 | 2.79927 | 7.15490 | 5.84196 | 1.53913 | 1.44760 | 
 1 -> | 1996.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 5.00000 | 2.50000 | 7.00000 | 212.500 | 0.00000 | 
 2 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 21.0000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2007.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 1.00000 | 
 4 -> | 1988.40 | 10.0000 | 0.20000 | 1.00000 | 0.00000 | 3.00000 | 12.8000 | 6.00000 | 48.2000 | 560.400 | 
 5 -> | 2010.60 | 7.93071 | 0.10595 | 0.92035 | 0.08429 | 2.87509 | 7.88259 | 5.76962 | 2.62375 | 5.77210 | 
G06   |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.76 | 6.00013 | 0.10068 | 0.89876 | 0.00113 | 2.78742 | 7.12890 | 5.83653 | 1.60312 | 1.48162 | 
 1 -> | 1996.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 5.00000 | 2.50000 | 7.00000 | 212.500 | 0.00000 | 
 2 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 21.0000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2007.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 1.00000 | 
 4 -> | 1988.40 | 10.0000 | 0.20000 | 1.00000 | 0.00000 | 3.00000 | 12.8000 | 6.00000 | 48.2000 | 560.400 | 
 5 -> | 2010.60 | 7.90666 | 0.10741 | 0.91687 | 0.08704 | 2.87645 | 7.85698 | 5.76962 | 2.56553 | 5.67522 | 
G07   |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.78 | 5.99772 | 0.10260 | 0.90013 | 0.00120 | 2.80082 | 7.16795 | 5.83977 | 1.57049 | 1.45548 | 
 1 -> | 1996.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 5.00000 | 2.50000 | 7.00000 | 212.500 | 0.00000 | 
 2 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 21.0000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2007.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 1.00000 | 
 4 -> | 1988.40 | 10.0000 | 0.20000 | 1.00000 | 0.00000 | 3.00000 | 12.8000 | 6.00000 | 48.2000 | 560.400 | 
 5 -> | 2010.59 | 7.93738 | 0.10976 | 0.91785 | 0.08913 | 2.87822 | 7.85759 | 5.77051 | 2.67388 | 5.90966 | 
G08   |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.78 | 5.99867 | 0.10212 | 0.90016 | 0.00082 | 2.79443 | 7.06362 | 5.84092 | 1.58493 | 1.39801 | 
 1 -> | 1996.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 5.00000 | 2.50000 | 7.00000 | 212.500 | 0.00000 | 
 2 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 21.0000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2007.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 1.00000 | 
 4 -> | 1988.40 | 10.0000 | 0.20000 | 1.00000 | 0.00000 | 3.00000 | 12.8000 | 6.00000 | 48.2000 | 560.400 | 
 5 -> | 2010.58 | 7.94883 | 0.11418 | 0.91691 | 0.09138 | 2.87628 | 7.83402 | 5.77578 | 2.63602 | 5.76189 | 
G09   |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.92 | 5.98918 | 0.10225 | 0.89642 | 0.00070 | 2.78761 | 7.00713 | 5.83893 | 1.52060 | 1.35169 | 
 1 -> | 1996.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 5.00000 | 2.50000 | 7.00000 | 212.500 | 0.00000 | 
 2 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 21.0000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2007.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 1.00000 | 
 4 -> | 1988.40 | 10.0000 | 0.20000 | 1.00000 | 0.00000 | 3.00000 | 12.8000 | 6.00000 | 48.2000 | 560.400 | 
 5 -> | 2010.64 | 7.95746 | 0.11425 | 0.91612 | 0.09109 | 2.87844 | 7.83516 | 5.76795 | 2.61723 | 5.75457 | 
