
Gen00:|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.65 | 6.00550 | 0.10241 | 0.90102 | 0.00123 | 2.83209 | 7.11133 | 5.86119 | 1.44236 | 1.51936 | 
 1 -> | 2011.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 6.00000 | 1.00000 | 5.00000 | 0.00000 | 0.00000 | 
 2 -> | 2004.00 | 9.00000 | 1.00000 | 1.00000 | 0.00000 | 7.00000 | 1.00000 | 8.00000 | 0.00000 | 0.00000 | 
 3 -> | 1988.93 | 9.03448 | 0.00000 | 1.00000 | 0.00000 | 3.44828 | 12.6897 | 5.96552 | 162.517 | 20.7586 | 
 4 -> | 1990.68 | 6.66102 | 0.00000 | 1.00000 | 0.13559 | 3.44068 | 9.94915 | 5.86441 | 27.3729 | 140.034 | 
 5 -> | 2010.78 | 7.94401 | 0.11291 | 0.91747 | 0.08486 | 2.86744 | 8.03473 | 5.79108 | 2.77543 | 5.97133 | 

Gen01:|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.64 | 6.04533 | 0.09820 | 0.90011 | 0.00098 | 2.83748 | 7.06666 | 5.85654 | 1.38252 | 1.42993 | 
 1 -> | 2011.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 6.00000 | 1.00000 | 5.00000 | 0.00000 | 0.00000 | 
 2 -> | 2004.00 | 9.00000 | 1.00000 | 1.00000 | 0.00000 | 7.00000 | 1.00000 | 8.00000 | 0.00000 | 0.00000 | 
 3 -> | 1983.00 | 2.00000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 14.0000 | 5.00000 | 120.000 | 0.00000 | 
 4 -> | 1990.68 | 6.66102 | 0.00000 | 1.00000 | 0.13559 | 3.44068 | 9.94915 | 5.86441 | 27.3729 | 140.034 | 
 5 -> | 2010.65 | 7.93021 | 0.11173 | 0.91726 | 0.08577 | 2.86792 | 8.04389 | 5.79612 | 2.87357 | 6.47122 | 

Gen02:|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.76 | 6.05807 | 0.09689 | 0.89824 | 0.00065 | 2.82587 | 7.06223 | 5.84869 | 1.34827 | 1.41199 | 
 1 -> | 2011.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 6.00000 | 1.00000 | 5.00000 | 0.00000 | 0.00000 | 
 2 -> | 2004.00 | 9.00000 | 1.00000 | 1.00000 | 0.00000 | 7.00000 | 1.00000 | 8.00000 | 0.00000 | 0.00000 | 
 3 -> | 1985.27 | 5.86667 | 0.00000 | 1.00000 | 0.00000 | 2.73333 | 10.4000 | 5.46667 | 89.6000 | 11.5333 | 
 4 -> | 1990.68 | 6.66102 | 0.00000 | 1.00000 | 0.13559 | 3.44068 | 9.94915 | 5.86441 | 27.3729 | 140.034 | 
 5 -> | 2010.65 | 7.94102 | 0.11318 | 0.91716 | 0.08752 | 2.86913 | 8.10331 | 5.79992 | 2.83792 | 6.56667 | 

Gen03:|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.68 | 6.04698 | 0.09816 | 0.90177 | 0.00039 | 2.83364 | 7.01760 | 5.84399 | 1.30814 | 1.42177 | 
 1 -> | 2011.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 6.00000 | 1.00000 | 5.00000 | 0.00000 | 0.00000 | 
 2 -> | 2004.00 | 9.00000 | 1.00000 | 1.00000 | 0.00000 | 7.00000 | 1.00000 | 8.00000 | 0.00000 | 0.00000 | 
