Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2013.12 | 7.60913 | 0.11417 | 0.81635 | 0.00908 | 2.97618 | 8.12104 | 5.86251 | 0.25436 | 0.34692 | 

 1 -> | 1987.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 1.00000 | 1.00000 | 

 2 -> | 2008.03 | 7.75090 | 0.07569 | 0.92771 | 0.03825 | 2.86904 | 8.09511 | 5.72207 | 0.96135 | 1.03785 | 

 3 -> | 1970.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 2.00000 | 8.00000 | 0.00000 | 0.00000 | 

 4 -> | 2013.24 | 8.36598 | 0.11669 | 0.96171 | 0.12613 | 2.78163 | 8.07788 | 5.78435 | 4.60582 | 9.32057 | 

 5 -> | 1988.61 | 6.23066 | 0.10417 | 0.90398 | 0.01313 | 2.82425 | 7.20035 | 5.84176 | 2.00820 | 4.63431 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2013.67 | 7.83541 | 0.10852 | 0.88530 | 0.02878 | 2.80940 | 7.78766 | 5.78318 | 0.91728 | 1.10297 | 

 1 -> | 1987.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 1.00000 | 1.00000 | 

 2 -> | 2006.58 | 7.71679 | 0.10186 | 0.91550 | 0.03383 | 2.88238 | 8.12513 | 5.74078 | 1.03169 | 0.95596 | 

 3 -> | 1970.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 2.00000 | 8.00000 | 0.00000 | 0.00000 | 

 4 -> | 2011.08 | 8.74581 | 0.10347 | 0.97608 | 0.18720 | 2.84450 | 8.39743 | 5.87261 | 5.17554 | 11.8660 | 

 5 -> | 1987.24 | 6.12474 | 0.10048 | 0.90502 | 0.01894 | 2.82480 | 7.14731 | 5.84567 | 2.69691 | 5.34580 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2013.74 | 7.96633 | 0.11080 | 0.89351 | 0.03396 | 2.81306 | 7.93139 | 5.79143 | 1.08417 | 1.50533 | 

 1 -> | 1987.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 1.00000 | 1.00000 | 

 2 -> | 2006.52 | 7.71623 | 0.10179 | 0.90777 | 0.03062 | 2.87803 | 8.14357 | 5.74898 | 1.07187 | 0.97274 | 

 3 -> | 1970.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 2.00000 | 8.00000 | 0.00000 | 0.00000 | 

 4 -> | 2009.95 | 8.57585 | 0.10365 | 0.97697 | 0.23431 | 2.86656 | 8.19142 | 5.87808 | 5.94559 | 14.5548 | 

 5 -> | 1987.19 | 6.16115 | 0.10002 | 0.90320 | 0.01628 | 2.82858 | 7.11412 | 5.84402 | 2.83861 | 6.11667 | 

Gen  3|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2013.73 | 8.01204 | 0.11278 | 0.89136 | 0.03490 | 2.81563 | 7.96538 | 5.79127 | 1.12736 | 1.74800 | 

 1 -> | 1987.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 1.00000 | 1.00000 | 

 2 -> | 2006.46 | 7.74252 | 0.10800 | 0.91055 | 0.03308 | 2.88797 | 8.13758 | 5.73867 | 1.12935 | 1.04586 | 

 3 -> | 1970.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 2.00000 | 8.00000 | 0.00000 | 0.00000 | 

 4 -> | 2009.44 | 8.54358 | 0.11234 | 0.97683 | 0.27406 | 2.86146 | 8.14358 | 5.88665 | 6.87557 | 16.5804 | 

 5 -> | 1987.22 | 6.15716 | 0.09775 | 0.90225 | 0.01762 | 2.82819 | 6.99528 | 5.84411 | 2.80329 | 5.78385 | 

Gen  4|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2013.71 | 8.00804 | 0.11271 | 0.89468 | 0.03930 | 2.82478 | 8.02635 | 5.79242 | 1.19260 | 1.88516 | 

 1 -> | 1987.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 1.00000 | 1.00000 | 

 2 -> | 2006.43 | 7.79043 | 0.11188 | 0.91736 | 0.04073 | 2.87375 | 8.03279 | 5.74125 | 1.20179 | 1.21835 | 

 3 -> | 1970.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 2.00000 | 8.00000 | 0.00000 | 0.00000 | 

 4 -> | 2009.33 | 8.62986 | 0.12153 | 0.98211 | 0.33004 | 2.88711 | 8.45466 | 5.86922 | 7.84454 | 19.4701 | 

 5 -> | 1987.05 | 6.07842 | 0.09880 | 0.90423 | 0.01656 | 2.82678 | 6.96591 | 5.84298 | 2.90235 | 5.40866 | 

Gen  5|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2013.71 | 8.00726 | 0.11400 | 0.89602 | 0.04064 | 2.81447 | 8.03448 | 5.79618 | 1.24612 | 2.00662 | 

 1 -> | 1987.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 1.00000 | 1.00000 | 

 2 -> | 2006.38 | 7.75364 | 0.11807 | 0.91861 | 0.04304 | 2.88293 | 7.96902 | 5.73020 | 1.31017 | 1.31486 | 

 3 -> | 1970.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 2.00000 | 8.00000 | 0.00000 | 0.00000 | 

 4 -> | 2009.03 | 8.64556 | 0.09979 | 0.97729 | 0.36201 | 2.90365 | 8.40537 | 5.89883 | 8.55609 | 22.4577 | 

 5 -> | 1987.04 | 6.08065 | 0.10018 | 0.90266 | 0.01360 | 2.83495 | 6.97449 | 5.84885 | 2.76971 | 5.19317 | 

Gen  6|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2013.72 | 8.05261 | 0.11887 | 0.89724 | 0.04223 | 2.82397 | 7.99654 | 5.80477 | 1.31565 | 2.13034 | 

 1 -> | 1987.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 1.00000 | 1.00000 | 

