
Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2005.79 | 7.72881 | 0.09191 | 0.94175 | 0.07150 | 2.89606 | 8.01325 | 5.71573 | 1.78566 | 2.44123 | 
 1 -> | 1979.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 10.0000 | 5.00000 | 1.00000 | 0.00000 | 
 2 -> | 1978.00 | 1.00000 | 1.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2005.66 | 8.72007 | 0.08432 | 0.99157 | 0.41653 | 2.94604 | 8.74030 | 5.96459 | 8.31029 | 38.1417 | 
 4 -> | 2013.43 | 8.05458 | 0.12254 | 0.90224 | 0.05904 | 2.81978 | 7.92279 | 5.80432 | 1.59987 | 2.99912 | 
 5 -> | 1986.95 | 6.11399 | 0.10046 | 0.90718 | 0.01152 | 2.85007 | 7.24914 | 5.86002 | 2.92722 | 4.76282 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2005.79 | 7.73558 | 0.09993 | 0.94059 | 0.07057 | 2.90316 | 7.93990 | 5.71463 | 2.06508 | 2.64286 | 
 1 -> | 1979.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 10.0000 | 5.00000 | 1.00000 | 0.00000 | 
 2 -> | 1978.00 | 1.00000 | 1.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2005.55 | 8.93631 | 0.03822 | 0.98089 | 0.51805 | 2.89809 | 8.20807 | 5.97240 | 11.4013 | 29.9597 | 
 4 -> | 2013.40 | 8.05669 | 0.11862 | 0.90055 | 0.06350 | 2.81321 | 7.92961 | 5.80117 | 1.84417 | 3.44105 | 
 5 -> | 1986.81 | 6.07966 | 0.09996 | 0.90331 | 0.00817 | 2.83584 | 7.22102 | 5.85406 | 2.92222 | 4.67852 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2005.76 | 7.68017 | 0.10136 | 0.93632 | 0.06262 | 2.90943 | 7.94286 | 5.71166 | 1.74792 | 2.11817 | 
 1 -> | 1979.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 10.0000 | 5.00000 | 1.00000 | 0.00000 | 
 2 -> | 1978.00 | 1.00000 | 1.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2005.58 | 8.84138 | 0.06897 | 0.98793 | 0.38621 | 2.85517 | 9.48103 | 5.90690 | 12.1586 | 26.0138 | 
 4 -> | 2013.38 | 8.06233 | 0.11654 | 0.89946 | 0.06966 | 2.80537 | 7.88677 | 5.79182 | 1.84863 | 3.57828 | 
 5 -> | 1986.75 | 6.10002 | 0.09977 | 0.90419 | 0.00905 | 2.84036 | 7.19796 | 5.85531 | 3.17396 | 4.38914 | 

Gen  3|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2006.12 | 7.61497 | 0.10107 | 0.92772 | 0.05013 | 2.93726 | 8.14052 | 5.72041 | 1.54528 | 1.86740 | 
