Gen  0||   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |
 0 -> | 2003.64 | 7.34252 | 0.13992 | 0.90222 | 0.04052 | 2.86602 | 7.51918 | 5.74662 | 1.58725 | 2.02809 | 
 1 -> | 2016.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 22.0000 | 8.00000 | 0.00000 | 0.00000 | 
 2 -> | 2011.78 | 7.98755 | 0.10581 | 0.90952 | 0.05750 | 2.84739 | 7.98223 | 5.78570 | 1.56126 | 2.32518 | 
 3 -> | 2007.50 | 8.86009 | 0.12958 | 0.99155 | 0.47230 | 2.96526 | 9.78028 | 5.93615 | 23.2094 | 63.1362 | 
 4 -> | 1978.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 0.00000 | 
 5 -> | 1986.60 | 6.02797 | 0.09782 | 0.89960 | 0.00138 | 2.86154 | 7.13162 | 5.86361 | 1.75161 | 2.02665 | 

Gen  1||   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |
 0 -> | 2005.70 | 7.86963 | 0.08514 | 0.94118 | 0.08480 | 2.90540 | 7.86068 | 5.74819 | 2.17681 | 3.24269 | 
 1 -> | 2016.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 22.0000 | 8.00000 | 0.00000 | 0.00000 | 
 2 -> | 2013.35 | 8.00306 | 0.11714 | 0.89469 | 0.05362 | 2.82650 | 7.96852 | 5.79736 | 1.50777 | 2.63087 | 
 3 -> | 2007.66 | 8.89448 | 0.18182 | 0.98052 | 0.55682 | 3.01299 | 9.85714 | 5.94318 | 32.2987 | 90.2955 | 
 4 -> | 1978.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 0.00000 | 
 5 -> | 1986.66 | 6.01438 | 0.10131 | 0.89931 | 0.00188 | 2.87917 | 7.18787 | 5.87886 | 1.62733 | 1.91388 | 

Gen  2||   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |
 0 -> | 2005.77 | 7.88234 | 0.08548 | 0.94285 | 0.10853 | 2.92893 | 7.87914 | 5.78246 | 2.84825 | 5.05491 | 
 1 -> | 2016.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 22.0000 | 8.00000 | 0.00000 | 0.00000 | 
 2 -> | 2013.41 | 7.98447 | 0.11851 | 0.89267 | 0.04750 | 2.83046 | 7.96820 | 5.79915 | 1.40623 | 2.36908 | 
 3 -> | 2005.20 | 8.92308 | 0.16377 | 0.96526 | 0.49628 | 2.98015 | 10.7494 | 5.95782 | 46.1439 | 125.278 | 
 4 -> | 1978.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 0.00000 | 
 5 -> | 1986.69 | 5.99276 | 0.10048 | 0.89771 | 0.00144 | 2.89166 | 7.19753 | 5.88560 | 1.42027 | 1.40367 | 

Gen  3||   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |
 0 -> | 2005.99 | 7.91768 | 0.08911 | 0.94772 | 0.12218 | 2.88157 | 8.27917 | 5.78105 | 3.62782 | 6.85687 | 
 1 -> | 2016.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 22.0000 | 8.00000 | 0.00000 | 0.00000 | 
 2 -> | 2013.42 | 7.97928 | 0.11633 | 0.88947 | 0.03446 | 2.83215 | 7.89765 | 5.80043 | 1.11471 | 1.80682 | 
 3 -> | 2003.38 | 8.94697 | 0.20455 | 0.96212 | 0.52652 | 3.10606 | 11.1894 | 5.87500 | 65.1023 | 153.163 | 
 4 -> | 1978.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 0.00000 | 
 5 -> | 1986.70 | 5.98851 | 0.10861 | 0.89854 | 0.00113 | 2.91995 | 7.14446 | 5.89942 | 1.24046 | 1.19525 | 

Gen  4||   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |
 0 -> | 2005.70 | 8.04373 | 0.09118 | 0.95432 | 0.15793 | 2.80772 | 8.24504 | 5.77620 | 4.78222 | 10.3169 | 
 1 -> | 2016.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 22.0000 | 8.00000 | 0.00000 | 0.00000 | 
 2 -> | 2012.60 | 7.93515 | 0.11619 | 0.89182 | 0.03006 | 2.88457 | 7.97292 | 5.79966 | 0.97986 | 1.41837 | 
 3 -> | 2003.20 | 8.78140 | 0.20465 | 0.97209 | 0.53953 | 3.17674 | 12.2558 | 5.84186 | 62.4698 | 170.540 | 
 4 -> | 1978.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 0.00000 | 
 5 -> | 1986.76 | 6.00195 | 0.11027 | 0.89861 | 0.00120 | 2.93951 | 7.05974 | 5.89905 | 1.21865 | 1.05325 | 

Gen  5||   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |
 0 -> | 2005.68 | 8.09949 | 0.07138 | 0.98105 | 0.24889 | 2.82344 | 8.82312 | 5.88598 | 8.02243 | 20.0101 | 
 1 -> | 2016.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 22.0000 | 8.00000 | 0.00000 | 0.00000 | 
