Gen  0| region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2004.21 | 7.53979 | 0.11876 | 0.91340 | 0.05443 | 2.80412 | 7.71588 | 5.70021 | 2.07835 | 1.50804 | 
 1 -> | 1978.00 | 1.00000 | 1.00000 | 0.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 2008.00 | 9.76923 | 0.07692 | 1.00000 | 0.30769 | 2.69231 | 9.61538 | 5.69231 | 7.69231 | 4.76923 | 
 3 -> | 2011.79 | 7.81622 | 0.10600 | 0.90284 | 0.03836 | 2.87118 | 7.78409 | 5.76626 | 0.89585 | 1.12367 | 
 4 -> | 2011.15 | 8.86753 | 0.11584 | 0.98422 | 0.23506 | 2.89205 | 9.04932 | 5.91855 | 10.2965 | 24.8740 | 
 5 -> | 1986.75 | 6.02763 | 0.10215 | 0.90347 | 0.00158 | 2.86599 | 7.13943 | 5.86637 | 1.38845 | 1.83413 | 

Gen  1| region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2005.73 | 7.72997 | 0.09609 | 0.93505 | 0.04897 | 2.95062 | 7.72485 | 5.72977 | 0.91846 | 1.40012 | 
 1 -> | 1978.00 | 1.00000 | 1.00000 | 0.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 2006.10 | 8.19405 | 0.04533 | 0.98159 | 0.17422 | 2.76204 | 8.58782 | 5.67847 | 6.24788 | 7.37960 | 
 3 -> | 2013.34 | 7.95270 | 0.11536 | 0.90043 | 0.04472 | 2.83536 | 7.99579 | 5.79966 | 1.13511 | 1.86627 | 
 4 -> | 2008.78 | 8.90423 | 0.11229 | 0.98811 | 0.40555 | 2.90951 | 8.91083 | 5.94055 | 18.1612 | 43.8448 | 
 5 -> | 1986.73 | 6.02213 | 0.10783 | 0.90037 | 0.00224 | 2.88981 | 7.10684 | 5.88005 | 1.43045 | 1.92418 | 

Gen  2| region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2005.71 | 7.70567 | 0.09747 | 0.93481 | 0.04183 | 2.92631 | 7.77745 | 5.70779 | 0.97494 | 1.06647 | 
 1 -> | 1978.00 | 1.00000 | 1.00000 | 0.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 2005.90 | 8.18227 | 0.06131 | 0.96769 | 0.19967 | 2.76388 | 8.01491 | 5.78790 | 5.05634 | 10.6272 | 
 3 -> | 2013.32 | 7.93783 | 0.11854 | 0.90765 | 0.04932 | 2.82898 | 8.02404 | 5.79590 | 1.26784 | 2.14151 | 
 4 -> | 2008.54 | 9.12926 | 0.11163 | 0.99060 | 0.43008 | 2.94830 | 8.68273 | 6.00000 | 22.1798 | 58.1751 | 
 5 -> | 1986.68 | 6.00375 | 0.10793 | 0.90076 | 0.00256 | 2.88983 | 7.11704 | 5.88620 | 1.72357 | 2.18668 | 

Gen  3| region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2005.70 | 7.76374 | 0.08737 | 0.93499 | 0.04061 | 2.91448 | 7.73154 | 5.68642 | 1.30599 | 1.12756 | 
 1 -> | 1978.00 | 1.00000 | 1.00000 | 0.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 2005.63 | 7.99688 | 0.06861 | 0.96466 | 0.22349 | 2.82848 | 7.60291 | 5.86486 | 4.38877 | 12.3576 | 
 3 -> | 2013.22 | 8.00971 | 0.11652 | 0.90948 | 0.05752 | 2.81896 | 8.05448 | 5.79740 | 1.42207 | 2.60081 | 
 4 -> | 2008.61 | 9.01429 | 0.07679 | 0.98750 | 0.47143 | 2.95179 | 7.73036 | 5.97857 | 18.0500 | 55.5607 | 
