Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |
 0 -> | 2010.36 | 0.12367 | 0.85505 | 0.00199 | 0.28856 | 0.77660 | 
 1 -> | 2011.71 | 0.11407 | 0.86882 | 0.01267 | 0.42269 | 0.86755 | 
 2 -> | 2011.25 | 0.19324 | 0.98068 | 0.02899 | 0.97585 | 6.67633 | 
 3 -> | 1991.34 | 0.09708 | 0.90597 | 0.01521 | 1.26061 | 0.69946 | 
 4 -> | 2014.27 | 0.11347 | 0.91258 | 0.04846 | 1.65208 | 1.95095 | 
 5 -> | 2001.04 | 0.08716 | 0.98526 | 0.24345 | 13.4725 | 40.3535 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |
 0 -> | 2006.90 | 0.10761 | 0.91291 | 0.03036 | 1.07558 | 0.73340 | 
 1 -> | 2011.88 | 0.09706 | 0.89827 | 0.01493 | 0.66636 | 0.73542 | 
 2 -> | 2006.07 | 0.05425 | 0.97004 | 0.15628 | 2.44211 | 9.05020 | 
 3 -> | 1986.53 | 0.09619 | 0.90342 | 0.00173 | 1.22931 | 0.81969 | 
 4 -> | 2014.24 | 0.12453 | 0.91105 | 0.05989 | 1.81167 | 3.05432 | 
 5 -> | 2001.38 | 0.08675 | 0.99795 | 0.34358 | 25.4337 | 65.1120 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |
 0 -> | 2005.71 | 0.09339 | 0.92913 | 0.04353 | 1.35980 | 0.94969 | 
 1 -> | 2010.40 | 0.10780 | 0.88490 | 0.00305 | 0.58100 | 0.41413 | 
 2 -> | 2005.35 | 0.05316 | 0.98395 | 0.15848 | 3.20060 | 9.47643 | 
 3 -> | 1986.57 | 0.09461 | 0.90800 | 0.00172 | 1.32139 | 1.17596 | 
 4 -> | 2013.48 | 0.11661 | 0.91411 | 0.06455 | 2.05161 | 3.68250 | 
 5 -> | 2001.51 | 0.12349 | 0.99597 | 0.43758 | 39.2577 | 107.352 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |
 0 -> | 2005.69 | 0.09602 | 0.93164 | 0.04159 | 1.33769 | 1.01154 | 
 1 -> | 2010.00 | 0.13688 | 0.85678 | 0.00507 | 0.47275 | 0.22687 | 
 2 -> | 2005.28 | 0.06114 | 0.97380 | 0.15575 | 3.77438 | 8.37991 | 
 3 -> | 1986.71 | 0.09450 | 0.90814 | 0.00176 | 1.57278 | 1.50280 | 
 4 -> | 2013.06 | 0.11071 | 0.91782 | 0.07134 | 2.20261 | 4.36402 | 
 5 -> | 2003.60 | 0.18069 | 1.00000 | 0.51402 | 60.3863 | 155.178 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |
 0 -> | 2005.64 | 0.10083 | 0.92613 | 0.03770 | 1.26107 | 0.97063 | 
 1 -> | 2010.00 | 0.16167 | 0.86180 | 0.00130 | 0.51630 | 0.22295 | 
 2 -> | 2005.43 | 0.04271 | 0.97644 | 0.16200 | 4.31222 | 7.18115 | 
 3 -> | 1986.66 | 0.09396 | 0.90729 | 0.00164 | 1.44591 | 1.37384 | 
 4 -> | 2012.77 | 0.10920 | 0.92064 | 0.07787 | 2.61310 | 5.17463 | 
 5 -> | 2003.94 | 0.23045 | 1.00000 | 0.52675 | 71.4568 | 177.412 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |
 0 -> | 2005.69 | 0.10388 | 0.92571 | 0.03738 | 1.00550 | 0.88145 | 
 1 -> | 2010.43 | 0.12674 | 0.87459 | 0.00000 | 0.60783 | 0.21898 | 
 2 -> | 2005.21 | 0.03896 | 0.97403 | 0.14773 | 4.29058 | 5.37500 | 
 3 -> | 1986.61 | 0.09456 | 0.90671 | 0.00120 | 1.37165 | 1.25316 | 
 4 -> | 2012.62 | 0.10892 | 0.92309 | 0.08591 | 3.00486 | 6.07229 | 
 5 -> | 2003.40 | 0.30108 | 1.00000 | 0.53226 | 83.4677 | 206.919 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |
 0 -> | 2005.67 | 0.10759 | 0.92107 | 0.03712 | 0.88067 | 0.76956 | 
 1 -> | 2011.05 | 0.11289 | 0.88264 | 0.00261 | 0.56893 | 0.19151 | 
 2 -> | 2005.34 | 0.03804 | 0.98370 | 0.11685 | 3.71603 | 4.63587 | 
 3 -> | 1986.56 | 0.09102 | 0.90955 | 0.00159 | 1.32986 | 1.10733 | 
 4 -> | 2012.47 | 0.10593 | 0.92921 | 0.09821 | 3.37961 | 7.23368 | 
 5 -> | 2002.39 | 0.32117 | 1.00000 | 0.43066 | 105.657 | 251.299 | 

Gen  7|   year  | multiple| success | suicide |  kills  |  wound  |
 0 -> | 2005.66 | 0.11769 | 0.91789 | 0.03235 | 0.78477 | 0.66833 | 
 1 -> | 2011.21 | 0.11754 | 0.89260 | 0.00686 | 0.62291 | 0.32936 | 
 2 -> | 2005.42 | 0.03441 | 0.98495 | 0.11828 | 3.73871 | 4.00645 | 
 3 -> | 1986.45 | 0.08951 | 0.90671 | 0.00154 | 1.28973 | 1.07101 | 
 4 -> | 2012.46 | 0.10414 | 0.92860 | 0.09970 | 3.55781 | 7.77303 | 
 5 -> | 2001.22 | 0.32727 | 1.00000 | 0.45455 | 120.655 | 213.391 | 

Gen  8|   year  | multiple| success | suicide |  kills  |  wound  |
 0 -> | 2005.65 | 0.12196 | 0.91266 | 0.03101 | 0.71189 | 0.67132 | 
 1 -> | 2011.75 | 0.12986 | 0.86948 | 0.00486 | 0.53622 | 0.38383 | 
 2 -> | 2005.50 | 0.01602 | 0.98775 | 0.12158 | 3.63054 | 3.71348 | 
 3 -> | 1986.41 | 0.09039 | 0.90730 | 0.00128 | 1.29811 | 1.02746 | 
 4 -> | 2012.15 | 0.10024 | 0.94429 | 0.10873 | 4.03976 | 8.86735 | 
 5 -> | 1999.85 | 0.25547 | 1.00000 | 0.49635 | 134.832 | 231.204 | 

Gen  9|   year  | multiple| success | suicide |  kills  |  wound  |
 0 -> | 2005.66 | 0.10809 | 0.90840 | 0.03271 | 0.68045 | 0.65663 | 
 1 -> | 2012.78 | 0.11487 | 0.85289 | 0.01571 | 0.57491 | 0.37619 | 
 2 -> | 2006.13 | 0.01014 | 0.99298 | 0.14431 | 3.70125 | 3.45086 | 
