Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2001.62 | 5.79167 | 0.14766 | 0.12135 | 0.05848 | 2.60746 | 15.0833 | 5.58480 | 4.63012 | 3.41667 | 22.1252 | 
 1 -> | 2013.27 | 5.81791 | 0.15630 | 0.21244 | 0.04856 | 2.91199 | 15.7587 | 5.74810 | 1.32929 | 3.51290 | 10.6583 | 
 2 -> | 2002.54 | 5.81034 | 0.07586 | 0.10690 | 0.20345 | 2.83793 | 14.8379 | 5.77241 | 20.0310 | 46.1966 | 4.69028 | 
 3 -> | 2010.00 | 5.00000 | 0.00000 | 0.00000 | 0.00000 | 1.00000 | 2.00000 | 5.00000 | 0.00000 | 1.00000 | 0.01617 | 
 4 -> | 2013.17 | 5.81879 | 0.22819 | 0.25503 | 0.06711 | 2.99329 | 7.95302 | 5.87248 | 1.69128 | 1.61074 | 2.40983 | 
 5 -> | 2003.87 | 5.77180 | 0.13698 | 0.15258 | 0.09849 | 2.72443 | 3.16039 | 5.66631 | 2.93972 | 6.28498 | 60.1003 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 1996.28 | 5.75375 | 0.23408 | 0.22191 | 0.11330 | 2.70318 | 14.7088 | 5.62266 | 6.19382 | 6.07397 | 17.2899 | 
 1 -> | 2009.91 | 5.74708 | 0.28016 | 0.23346 | 0.15175 | 2.94163 | 17.8249 | 5.72763 | 3.59922 | 7.94163 | 4.16060 | 
 2 -> | 1998.98 | 5.79775 | 0.14607 | 0.25843 | 0.25843 | 3.15730 | 15.9326 | 5.74157 | 78.7640 | 56.0899 | 1.44083 | 
 3 -> | 2010.00 | 5.00000 | 0.00000 | 0.00000 | 0.00000 | 1.00000 | 2.00000 | 5.00000 | 0.00000 | 1.00000 | 0.00000 | 
 4 -> | 2013.08 | 5.80692 | 0.24207 | 0.28386 | 0.09078 | 2.65706 | 14.9452 | 5.59942 | 3.30403 | 3.75360 | 11.2352 | 
 5 -> | 2005.17 | 5.78275 | 0.23863 | 0.26837 | 0.17547 | 2.73826 | 3.97149 | 5.69943 | 4.95429 | 14.2713 | 65.8734 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 1990.06 | 5.77796 | 0.36490 | 0.36490 | 0.20980 | 2.74939 | 9.33551 | 5.66204 | 8.06204 | 7.40327 | 19.8316 | 
 1 -> | 2004.24 | 5.76364 | 0.36364 | 0.63636 | 0.20000 | 2.74545 | 17.0364 | 5.74545 | 5.74545 | 8.54545 | 0.89040 | 
 2 -> | 1994.00 | 6.00000 | 0.00000 | 0.50000 | 0.25000 | 2.75000 | 12.7500 | 5.50000 | 54.5000 | 18.0000 | 0.06476 | 
 3 -> | 2003.40 | 6.00000 | 0.40000 | 0.00000 | 0.60000 | 2.40000 | 4.80000 | 5.60000 | 9.20000 | 1.00000 | 0.08095 | 
 4 -> | 2010.20 | 5.77819 | 0.38262 | 0.33826 | 0.18669 | 2.78928 | 16.3087 | 5.66728 | 5.60628 | 3.42699 | 8.75830 | 
 5 -> | 2007.99 | 5.76075 | 0.36347 | 0.39775 | 0.27881 | 2.76904 | 6.33540 | 5.67058 | 10.2434 | 25.4732 | 70.3740 | 

Gen  3|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 1988.87 | 5.76970 | 0.44524 | 0.47595 | 0.34186 | 2.71750 | 7.89662 | 5.68373 | 8.35005 | 10.3101 | 15.8167 | 
