Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2010.34 | 0.10826 | 0.90268 | 0.04937 | 1.80787 | 2.57761 | 77.4410 | 
 1 -> | 1990.71 | 0.09198 | 0.93435 | 0.00980 | 2.75038 | 5.86374 | 22.5590 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2010.88 | 0.10667 | 0.90170 | 0.05240 | 1.77544 | 2.54084 | 74.1073 | 
 1 -> | 1991.60 | 0.10553 | 0.92706 | 0.01541 | 2.58597 | 5.35251 | 25.8927 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.08 | 0.10780 | 0.89701 | 0.05546 | 1.80691 | 2.59545 | 73.4902 | 
 1 -> | 1991.97 | 0.11109 | 0.92096 | 0.01960 | 2.41793 | 5.30598 | 26.5098 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.12 | 0.10879 | 0.89380 | 0.05683 | 1.74582 | 2.53134 | 73.1860 | 
 1 -> | 1992.02 | 0.11711 | 0.91897 | 0.02248 | 2.40355 | 5.28870 | 26.8140 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.14 | 0.11219 | 0.88986 | 0.06071 | 1.72783 | 2.51231 | 72.8617 | 
 1 -> | 1992.00 | 0.12078 | 0.91729 | 0.02708 | 2.23384 | 4.79704 | 27.1383 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.21 | 0.11369 | 0.88643 | 0.06362 | 1.73755 | 2.60621 | 71.8743 | 
 1 -> | 1992.01 | 0.12195 | 0.91397 | 0.02776 | 2.12093 | 4.47280 | 28.1257 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.24 | 0.11665 | 0.88551 | 0.06715 | 1.73936 | 2.76359 | 71.9001 | 
 1 -> | 1991.83 | 0.12646 | 0.90817 | 0.02789 | 1.98100 | 3.76537 | 28.0999 | 

Gen  7|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.20 | 0.11894 | 0.88381 | 0.07143 | 1.81421 | 2.94075 | 72.1326 | 
 1 -> | 1991.65 | 0.12978 | 0.91482 | 0.02935 | 1.81296 | 3.27222 | 27.8674 | 

Gen  8|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.15 | 0.12503 | 0.88084 | 0.07092 | 1.83319 | 3.07290 | 72.2876 | 
 1 -> | 1991.60 | 0.12802 | 0.91548 | 0.03097 | 1.78250 | 2.98488 | 27.7124 | 

Gen  9|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.17 | 0.12588 | 0.87471 | 0.07533 | 1.82114 | 3.07898 | 72.2790 | 
 1 -> | 1991.64 | 0.12953 | 0.91416 | 0.03603 | 1.84779 | 2.95351 | 27.7210 | 
