Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    | inercia |
 0 -> | 2009.50 | 0.18952 | 0.85484 | 0.02419 | 0.23790 | 1.53629 | 13.1915 | 10.1951 | 
 1 -> | 1987.00 | 0.00000 | 1.00000 | 0.50000 | 691.000 | 3684.00 | 0.10638 | 3746.78 | 
 2 -> | 1975.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.05319 | 0.00000 | 
 3 -> | 1970.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.05319 | 0.00000 | 
 4 -> | 1978.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.05319 | 0.00000 | 
 5 -> | 1971.00 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.05319 | 0.00000 | 
 6 -> | 1996.91 | 0.25115 | 0.80415 | 0.00230 | 0.28571 | 0.66129 | 23.0851 | 17.0027 | 
 7 -> | 1990.18 | 0.00000 | 1.00000 | 0.00000 | 0.27273 | 0.09091 | 0.58511 | 19.0492 | 
 8 -> | 1976.92 | 0.12955 | 0.82049 | 0.00762 | 1.76376 | 6.97121 | 62.8191 | 42.7680 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    | inercia |
 0 -> | 2010.58 | 0.14737 | 0.89474 | 0.01579 | 0.11053 | 0.56842 | 10.1604 | 8.15520 | 
 1 -> | 1987.00 | 0.00000 | 1.00000 | 0.50000 | 691.000 | 3684.00 | 0.00000 | 0.00000 | 
 2 -> | 1975.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 3 -> | 1970.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 4 -> | 1978.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 5 -> | 1971.00 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 6 -> | 1999.82 | 0.38095 | 0.82313 | 0.02721 | 0.43537 | 0.29932 | 7.86096 | 12.2322 | 
 7 -> | 1996.35 | 0.21472 | 0.79755 | 0.00000 | 0.18405 | 0.27914 | 17.4332 | 14.7941 | 
 8 -> | 1977.25 | 0.13256 | 0.83099 | 0.01326 | 5.22452 | 25.7539 | 64.5455 | 58.7733 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    | inercia |
 0 -> | 2011.93 | 0.11724 | 0.91724 | 0.06897 | 0.68966 | 0.27586 | 7.75816 | 7.65581 | 
 1 -> | 1987.00 | 0.00000 | 1.00000 | 0.50000 | 691.000 | 3684.00 | 0.00000 | 0.00000 | 
 2 -> | 1975.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 3 -> | 1970.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 4 -> | 1978.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 5 -> | 1971.00 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 6 -> | 2004.83 | 0.16667 | 0.91667 | 0.00000 | 2.50000 | 1.29167 | 1.28411 | 12.9582 | 
 7 -> | 1994.12 | 0.23553 | 0.79139 | 0.00942 | 0.18573 | 0.22073 | 39.7539 | 17.9128 | 
 8 -> | 1974.71 | 0.12957 | 0.82445 | 0.01358 | 6.22362 | 32.8067 | 51.2039 | 68.9928 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    | inercia |
 0 -> | 2010.97 | 0.11842 | 0.92105 | 0.03947 | 0.16447 | 0.84211 | 8.13704 | 6.88993 | 
 1 -> | 1987.00 | 0.00000 | 1.00000 | 0.50000 | 691.000 | 3684.00 | 0.00000 | 0.00000 | 
 2 -> | 1975.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 3 -> | 1970.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 4 -> | 1978.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 5 -> | 1971.00 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 6 -> | 2009.84 | 0.00000 | 0.83871 | 0.09677 | 1.48387 | 0.80645 | 1.65953 | 12.4515 | 
